location,datetime,sensorType,value
Organic Ossi's Impact That Lasts plantase,2018-12-31T22:00:00.000Z,pH,7.17
Organic Ossi's Impact That Lasts plantase,2018-12-31T22:00:00.000Z,rainFall,0
Organic Ossi's Impact That Lasts plantase,2019-01-01T09:42:27.744Z,temperature,-23.0
Organic Ossi's Impact That Lasts plantase,2018-12-31T23:36:55.186Z,temperature,-28.3
Organic Ossi's Impact That Lasts plantase,2019-01-01T21:07:47.214Z,temperature,-28.2
Organic Ossi's Impact That Lasts plantase,2019-01-01T20:04:01.710Z,temperature,-27.4
Organic Ossi's Impact That Lasts plantase,2018-12-31T23:44:37.545Z,temperature,-27.0
Organic Ossi's Impact That Lasts plantase,2019-01-01T14:08:04.166Z,temperature,-23.1
Organic Ossi's Impact That Lasts plantase,2019-01-01T04:49:16.044Z,temperature,-25.0
Organic Ossi's Impact That Lasts plantase,2019-01-01T21:54:06.946Z,temperature,-27.4
Organic Ossi's Impact That Lasts plantase,2019-01-02T21:54:06.946Z,pH,6.69
Organic Ossi's Impact That Lasts plantase,2019-01-02T21:54:06.946Z,rainFall,3.4
Organic Ossi's Impact That Lasts plantase,2019-01-02T21:57:03.976Z,temperature,-20.7
Organic Ossi's Impact That Lasts plantase,2019-01-02T07:40:56.593Z,temperature,-17.5
Organic Ossi's Impact That Lasts plantase,2019-01-02T02:25:10.055Z,temperature,-19.8
Organic Ossi's Impact That Lasts plantase,2019-01-02T02:06:34.401Z,temperature,-19.0
Organic Ossi's Impact That Lasts plantase,2019-01-02T06:13:13.139Z,temperature,-17.5
Organic Ossi's Impact That Lasts plantase,2019-01-03T06:13:13.139Z,pH,6.48
Organic Ossi's Impact That Lasts plantase,2019-01-03T06:13:13.139Z,rainFall,6.8
Organic Ossi's Impact That Lasts plantase,2019-01-02T23:02:48.926Z,temperature,-17.6
Organic Ossi's Impact That Lasts plantase,2019-01-03T23:02:48.926Z,pH,6.82
Organic Ossi's Impact That Lasts plantase,2019-01-03T23:02:48.926Z,rainFall,3.5
Organic Ossi's Impact That Lasts plantase,2019-01-04T21:23:59.766Z,temperature,-14.0
Organic Ossi's Impact That Lasts plantase,2019-01-04T00:45:08.927Z,temperature,-14.6
Organic Ossi's Impact That Lasts plantase,2019-01-04T01:58:16.034Z,temperature,-13.0
Organic Ossi's Impact That Lasts plantase,2019-01-05T01:58:16.034Z,pH,6.56
Organic Ossi's Impact That Lasts plantase,2019-01-05T01:58:16.034Z,rainFall,0
Organic Ossi's Impact That Lasts plantase,2019-01-05T14:54:26.954Z,temperature,-19.6
Organic Ossi's Impact That Lasts plantase,2019-01-05T06:25:35.974Z,temperature,-20.2
Organic Ossi's Impact That Lasts plantase,2019-01-05T11:12:40.092Z,temperature,-19.6
Organic Ossi's Impact That Lasts plantase,2019-01-05T11:20:57.825Z,temperature,-19.7
Organic Ossi's Impact That Lasts plantase,2019-01-05T05:26:33.873Z,temperature,-20.8
Organic Ossi's Impact That Lasts plantase,2019-01-06T05:26:33.873Z,pH,6.34
Organic Ossi's Impact That Lasts plantase,2019-01-06T05:26:33.873Z,rainFall,3.0
Organic Ossi's Impact That Lasts plantase,2019-01-06T21:00:46.702Z,temperature,-15.1
Organic Ossi's Impact That Lasts plantase,2019-01-06T03:07:40.166Z,temperature,-12.9
Organic Ossi's Impact That Lasts plantase,2019-01-06T14:37:33.424Z,temperature,-10.9
Organic Ossi's Impact That Lasts plantase,2019-01-06T07:11:11.443Z,temperature,-11.4
Organic Ossi's Impact That Lasts plantase,2019-01-06T21:50:57.843Z,temperature,-14.9
Organic Ossi's Impact That Lasts plantase,2019-01-06T09:09:32.375Z,temperature,-10.8
Organic Ossi's Impact That Lasts plantase,2019-01-05T22:34:49.602Z,temperature,-15.3
Organic Ossi's Impact That Lasts plantase,2019-01-06T08:42:48.853Z,temperature,-11.8
Organic Ossi's Impact That Lasts plantase,2019-01-06T06:35:51.754Z,temperature,-11.4
Organic Ossi's Impact That Lasts plantase,2019-01-07T06:35:51.754Z,pH,6.76
Organic Ossi's Impact That Lasts plantase,2019-01-07T06:35:51.754Z,rainFall,3.2
Organic Ossi's Impact That Lasts plantase,2019-01-07T17:13:05.091Z,temperature,-10.9
Organic Ossi's Impact That Lasts plantase,2019-01-07T09:24:49.150Z,temperature,-8.8
Organic Ossi's Impact That Lasts plantase,2019-01-07T20:01:34.159Z,temperature,-12.8
Organic Ossi's Impact That Lasts plantase,2019-01-07T10:02:19.759Z,temperature,-8.8
Organic Ossi's Impact That Lasts plantase,2019-01-08T10:02:19.759Z,pH,6.72
Organic Ossi's Impact That Lasts plantase,2019-01-08T10:02:19.759Z,rainFall,2.4
Organic Ossi's Impact That Lasts plantase,2019-01-08T18:58:28.408Z,temperature,-17.6
Organic Ossi's Impact That Lasts plantase,2019-01-07T23:01:27.501Z,temperature,-19.4
Organic Ossi's Impact That Lasts plantase,2019-01-08T09:08:49.332Z,temperature,-15.9
Organic Ossi's Impact That Lasts plantase,2019-01-08T16:02:14.479Z,temperature,-15.9
Organic Ossi's Impact That Lasts plantase,2019-01-08T01:33:45.324Z,temperature,-17.3
Organic Ossi's Impact That Lasts plantase,2019-01-08T06:12:57.239Z,temperature,-16.0
Organic Ossi's Impact That Lasts plantase,2019-01-08T15:39:28.587Z,temperature,-16.2
Organic Ossi's Impact That Lasts plantase,2019-01-08T15:31:53.882Z,temperature,-15.2
Organic Ossi's Impact That Lasts plantase,2019-01-08T05:19:51.235Z,temperature,-16.0
Organic Ossi's Impact That Lasts plantase,2019-01-08T18:06:13.000Z,temperature,-17.2
Organic Ossi's Impact That Lasts plantase,2019-01-09T18:06:13.000Z,pH,6.69
Organic Ossi's Impact That Lasts plantase,2019-01-09T18:06:13.000Z,rainFall,0
Organic Ossi's Impact That Lasts plantase,2019-01-09T12:12:06.026Z,temperature,-14.4
Organic Ossi's Impact That Lasts plantase,2019-01-09T07:30:49.345Z,temperature,-15.2
Organic Ossi's Impact That Lasts plantase,2019-01-09T00:42:10.747Z,temperature,-18.3
Organic Ossi's Impact That Lasts plantase,2019-01-09T14:28:00.604Z,temperature,-14.8
Organic Ossi's Impact That Lasts plantase,2019-01-09T07:19:24.134Z,temperature,-15.6
Organic Ossi's Impact That Lasts plantase,2019-01-08T22:56:55.531Z,temperature,-19.1
Organic Ossi's Impact That Lasts plantase,2019-01-08T22:46:12.338Z,temperature,-20.1
Organic Ossi's Impact That Lasts plantase,2019-01-09T22:46:12.338Z,pH,7.22
Organic Ossi's Impact That Lasts plantase,2019-01-09T22:46:12.338Z,rainFall,0
Organic Ossi's Impact That Lasts plantase,2019-01-10T07:32:58.348Z,temperature,-16.2
Organic Ossi's Impact That Lasts plantase,2019-01-10T21:18:23.042Z,temperature,-20.9
Organic Ossi's Impact That Lasts plantase,2019-01-10T19:15:35.419Z,temperature,-19.7
Organic Ossi's Impact That Lasts plantase,2019-01-11T19:15:35.419Z,pH,6.88
Organic Ossi's Impact That Lasts plantase,2019-01-11T19:15:35.419Z,rainFall,2.2
Organic Ossi's Impact That Lasts plantase,2019-01-11T13:51:26.811Z,temperature,-14.9
Organic Ossi's Impact That Lasts plantase,2019-01-12T13:51:26.811Z,pH,6.77
Organic Ossi's Impact That Lasts plantase,2019-01-12T13:51:26.811Z,rainFall,6.3
Organic Ossi's Impact That Lasts plantase,2019-01-12T09:50:44.534Z,temperature,-7.8
Organic Ossi's Impact That Lasts plantase,2019-01-12T13:13:18.558Z,temperature,-9.2
Organic Ossi's Impact That Lasts plantase,2019-01-12T14:59:27.254Z,temperature,-9.8
Organic Ossi's Impact That Lasts plantase,2019-01-12T05:15:36.250Z,temperature,-10.0
Organic Ossi's Impact That Lasts plantase,2019-01-12T05:46:57.517Z,temperature,-10.2
Organic Ossi's Impact That Lasts plantase,2019-01-12T17:57:33.235Z,temperature,-9.1
Organic Ossi's Impact That Lasts plantase,2019-01-12T09:20:26.031Z,temperature,-7.5
Organic Ossi's Impact That Lasts plantase,2019-01-12T05:47:21.598Z,temperature,-10.2
Organic Ossi's Impact That Lasts plantase,2019-01-12T00:10:47.058Z,temperature,-12.6
Organic Ossi's Impact That Lasts plantase,2019-01-12T10:14:11.903Z,temperature,-7.6
Organic Ossi's Impact That Lasts plantase,2019-01-13T10:14:11.903Z,pH,7.10
Organic Ossi's Impact That Lasts plantase,2019-01-13T10:14:11.903Z,rainFall,0
